R/W: UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
W: 00000000000000000000000000000000
W: 00000000000000000000000000000011
W: 00000000000000000000001100000100
W: 00000000000000110000010000000101
W: 00000011000001000000010100000110
R: 00000100000001010000011000000111
R: 00000100000001000000010100000110
R: 00000100000001000000010000000101
R: 00000100000001000000010000000100
R: 00000100000001000000010000000100
R: 00000100000001000000010000000100
R: 00000100000001000000010000000100
R: 00000100000001000000010000000100
